timestamp,profile,edge,sni,host,path,transport,tcp_ok,tls_ok,upgrade_ok,status,elapsed_ms,error
2026-08-01T20:57:10+0330,uacSpoofer 2,104.18.1.1,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,23238.6,TimeoutError: 
2026-08-01T20:57:09+0330,uacSpoofer 1,104.18.1.55,www.calmlunch.com,www.calmlunch.com,/assignment,ws,True,True,False,,24939.5,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,172.67.0.1,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,23365.9,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 2,104.24.133.30,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,True,HTTP/1.1 101 Switching Protocols,23461.6,
2026-08-01T20:57:10+0330,uacSpoofer 3,104.19.229.21,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,23710.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 3,104.16.0.1,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,23740.7,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 2,188.114.97.2,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,True,HTTP/1.1 101 Switching Protocols,23764.5,
2026-08-01T20:57:10+0330,uacSpoofer 3,104.18.0.55,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,23788.9,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 2,104.18.10.110,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,23811.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 3,104.18.11.110,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,23925.4,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,162.159.192.1,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,23946.4,TimeoutError: 
2026-08-01T20:57:08+0330,uacSpoofer 1,104.19.229.21,www.calmlunch.com,www.calmlunch.com,/assignment,ws,True,True,False,,25694.3,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 3,104.18.9.83,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,True,HTTP/1.1 101 Switching Protocols,23989.2,
